symbol,date,abertura,alta,baixa,fechamento,volume,adjclose,dividendo
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 1))",28.850000381469727,30.219999313354492,28.729999542236328,30.09000015258789,4512800,29.669626235961914,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 2))",30.399999618530273,30.440000534057617,28.229999542236328,28.829999923706055,8452600,28.427230834960938,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 5))",28.6299991607666,28.75,28.200000762939453,28.700000762939453,3309200,28.299047470092773,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 6))",28.940000534057617,29.670000076293945,28.8799991607666,29.56999969482422,4805800,29.156890869140625,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 7))",29.75,30.110000610351562,29.309999465942383,29.700000762939453,4864600,29.285078048706055,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 9))",29.899999618530273,30.149999618530273,29.6299991607666,29.860000610351562,3621100,29.442840576171875,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 12))",30.229999542236328,30.690000534057617,30.040000915527344,30.510000228881836,3953000,30.083759307861328,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 13))",30.540000915527344,30.739999771118164,29.790000915527344,29.950000762939453,6850000,29.531583786010742,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 14))",29.899999618530273,30.299999237060547,29.399999618530273,29.899999618530273,6924000,29.482280731201172,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 15))",29.8700008392334,30.350000381469727,29.690000534057617,30.350000381469727,5881200,29.925994873046875,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 16))",30.270000457763672,30.40999984741211,29.81999969482422,29.8799991607666,5819000,29.462560653686523,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 19))",29.860000610351562,30.170000076293945,29.770000457763672,29.989999771118164,1595600,29.57102394104004,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 20))",29.860000610351562,30.0,29.389999389648438,29.93000030517578,5027800,29.511863708496094,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 21))",29.799999237060547,29.8799991607666,28.84000015258789,29.5,4097000,29.08786964416504,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 22))",29.309999465942383,29.309999465942383,28.3700008392334,28.969999313354492,5283100,28.56527328491211,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 23))",29.40999984741211,29.860000610351562,28.969999313354492,29.770000457763672,3869800,29.35409927368164,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 26))",29.770000457763672,29.809999465942383,28.850000381469727,29.3700008392334,4207800,28.959688186645508,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 27))",29.700000762939453,29.829999923706055,28.889999389648438,29.229999542236328,3174300,28.82164192199707,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 28))",29.399999618530273,29.610000610351562,28.790000915527344,28.989999771118164,3085500,28.58499526977539,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 29))",29.100000381469727,29.790000915527344,29.049999237060547,29.56999969482422,2301600,29.156890869140625,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 6, 30))",29.809999465942383,30.559999465942383,29.649999618530273,29.979999542236328,4070500,29.5611629486084,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 3))",30.280000686645508,31.09000015258789,29.959999084472656,30.579999923706055,4997300,30.152782440185547,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 4))",30.579999923706055,30.889999389648438,30.25,30.290000915527344,1265500,29.86683464050293,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 5))",30.049999237060547,31.030000686645508,29.950000762939453,30.829999923706055,2916000,30.399288177490234,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 6))",30.649999618530273,30.649999618530273,29.889999389648438,29.950000762939453,2694900,29.531583786010742,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 7))",30.1299991607666,30.639999389648438,30.010000228881836,30.5,2791100,30.073898315429688,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 10))",30.469999313354492,30.540000915527344,29.989999771118164,30.020000457763672,2082400,29.600605010986328,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 11))",29.75,30.030000686645508,29.270000457763672,29.68000030517578,3569000,29.265356063842773,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 12))",29.75,30.190000534057617,29.56999969482422,29.6200008392334,5364900,29.206193923950195,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 13))",29.6200008392334,30.489999771118164,29.40999984741211,29.940000534057617,2861900,29.5217227935791,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 14))",29.739999771118164,30.18000030517578,29.350000381469727,29.43000030517578,2534700,29.018848419189453,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 17))",29.010000228881836,29.709999084472656,28.729999542236328,29.579999923706055,3181100,29.166751861572266,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 18))",28.8799991607666,29.530000686645508,28.75,29.149999618530273,8497600,28.742759704589844,0.0
TOTS3,"('TOTS3.SA', datetime.date(2023, 7, 19))",29.1299991607666,29.260000228881836,28.729999542236328,29.010000228881836,5148800,28.60471534729004,0.0
